,equity,benchmark,exposure
2021-04-22,1007341.8785255025,999999.9999999999,0.9404373020926867
2021-04-23,1004422.3550318821,997819.8054076714,0.5092460794936361
2021-04-26,1008142.8494742417,1006989.7433053295,0.5110571792150321
2021-04-27,1012574.0416818382,1018999.2065653277,0.5036788721810772
2021-04-28,1015223.694930855,1031808.3025770406,0.49997225406446283
2021-04-29,1020791.4437754038,1033032.3025390472,0.5072153515328753
2021-04-30,1017920.3109381306,1019147.5580009439,0.5058254095396616
2021-05-03,1023949.3590600842,1021694.5662080866,0.5087351260800059
2021-05-04,1020091.7626699293,1013880.5588220686,0.4971709708335811
2021-05-05,1024340.3977344581,1023157.6349513084,0.5142957134323796
2021-05-06,1028251.2688109489,1030485.3748264436,0.5055513262877045
2021-05-07,1033156.1231341304,1035529.8066046252,0.5078986953450472
2021-05-10,1040245.6238075888,1044333.0113820082,0.5104730325258872
2021-05-11,1039883.3718211129,1042053.8890010893,0.509548268279298
2021-05-12,1032158.4673924986,1033456.8307384173,0.49669730220873853
2021-05-14,1027757.6520262079,1028033.1891863957,0.50377502619476
2021-05-17,1033058.7680833932,1044514.2850841284,0.5063213926338114
2021-05-18,1039949.254069659,1058279.4952316242,0.5055543000873555
2021-05-19,1039545.5682528586,1055798.492546568,0.5040057181105938
2021-05-20,1034275.2427784416,1049818.4727400816,0.5014782948572009
2021-05-21,1038279.0655243595,1064770.574867045,0.5034006995445923
2021-05-24,1036876.5140432003,1068446.8409636386,0.5027289646996392
2021-05-25,1039195.6992652299,1068492.1593891687,0.5041818169375778
2021-05-26,1041097.0437935889,1073371.8188457517,0.505087324445304
2021-05-27,1042874.4057767454,1077002.605527737,0.5009227454377454
2021-05-28,1041248.8832719938,1081189.8509587261,0.5001436220965982
2021-05-31,1045213.1294400454,1090199.0412617421,0.5020394591032968
2021-06-01,1047386.7783390726,1088884.4044486755,0.5030728799979118
2021-06-02,1052531.5008446341,1094147.2984060552,0.5055018354599071
2021-06-03,1057036.5025052822,1102905.104263369,0.5025494852258674
2021-06-04,1060368.0563493161,1104009.6503293072,0.5135431049458415
2021-06-07,1061376.367440363,1111077.71482121,0.5141471566491403
2021-06-08,1061197.9093206197,1112470.6728208498,0.5140654523938505
2021-06-09,1058105.9713903014,1104215.7163494793,0.5126454817103645
2021-06-10,1063150.742062505,1114172.810345287,0.5149580340922253
2021-06-11,1066156.3757003369,1118017.9539849747,0.525704917672944
2021-06-14,1063100.7450783348,1117218.4822223382,0.5243416690964257
2021-06-15,1063834.379354842,1121640.6107185078,0.5137237460990473
2021-06-16,1057547.934537709,1113628.747755309,0.5108331453648435
2021-06-17,1052118.7967934525,1106585.4755814583,0.5083089491981817
2021-06-18,1051882.6008881242,1103403.7679332776,0.49933015765034416
2021-06-21,1055312.3375169293,1109136.5085155575,0.5078275806222138
2021-06-22,1056890.9554210014,1112021.4327979668,0.5085627105702327
2021-06-23,1055861.4658289885,1106437.043651303,0.5080835477340383
2021-06-24,1058641.651767209,1110138.0215714094,0.5091794353647554
2021-06-25,1063341.1654940664,1116002.692703323,0.5019896436671167
2021-06-28,1063878.9998654404,1115479.2367153622,0.5022414082822374
2021-06-29,1061911.0210332852,1111267.2794608604,0.5013189408130978
2021-06-30,1060591.7324594564,1110574.8654352664,0.5006986227366553
2021-07-01,1061371.9474879252,1108971.6556994198,0.50106565941894
2021-07-02,1060120.415813836,1112297.6095617209,0.5004766394159165
2021-07-05,1062957.2645788128,1119823.1245194979,0.5018097807149805
2021-07-06,1063064.0447235878,1118867.010383715,0.5018598217487307
2021-07-07,1066728.1236331365,1123552.9194846128,0.503570871528606
2021-07-08,1062554.8545345566,1115450.4196703539,0.5016211064575197
2021-07-09,1065071.6296091126,1115058.8942320268,0.5027987808430564
2021-07-12,1066273.0387508213,1116793.954022968,0.5033589957863732
2021-07-13,1068884.0067961672,1123375.670509449,0.5001213682470075
2021-07-14,1071562.6036390197,1126033.922169669,0.5013709203686249
2021-07-15,1072581.4622414534,1130917.6868477475,0.5018445743940678
2021-07-16,1071959.0183720852,1132731.067825262,0.4991581184802145
2021-07-19,1068795.9539193101,1122633.8328368296,0.5021270362734557
2021-07-20,1063872.405479841,1112392.3516342766,0.49857155348203736
2021-07-22,1073743.201249218,1126784.050779819,0.503181126592979
2021-07-23,1074634.4526925706,1128168.7983364675,0.5035931648790207
2021-07-26,1076235.3035075432,1127187.8918826329,0.5043315473535328
2021-07-27,1075519.796002598,1121846.6767386799,0.4994576737410253
2021-07-28,1076404.6005959145,1119279.142424059,0.49986911953861685
2021-07-29,1081842.2004643218,1124603.8561874903,0.5030042405274551
2021-07-30,1081225.8549004402,1126293.5975529016,0.5027209314202685
2021-08-02,1084540.9399048255,1136139.367601093,0.49969429389310105
2021-08-03,1089510.1910676146,1148956.674055797,0.5019761860059097
2021-08-04,1087682.1869824673,1151441.7819623488,0.50113918639575
2021-08-05,1088596.4396847403,1152447.4002396965,0.5015581523506891
2021-08-06,1089075.7848117687,1150230.1781593682,0.5017775362302225
2021-08-09,1087411.3868643078,1148614.5722644955,0.5010149541420684
2021-08-10,1084507.6828077515,1145127.9513020916,0.4996789517100088
2021-08-11,1087042.0522060434,1143792.6273924687,0.5008454184088215
2021-08-12,1091605.8453288998,1151656.1389200513,0.5017969106324415
2021-08-13,1093288.4758578283,1159350.6119154617,0.5025636723300974
2021-08-16,1095182.8673807206,1159803.9571598403,0.5034241123446223
2021-08-17,1100412.3071948672,1163290.5781222442,0.5057839675558659
2021-08-18,1099736.196026553,1161844.0107595439,0.5008622823583699
2021-08-20,1091330.1437262613,1149348.199494124,0.5017306449752339
2021-08-23,1091435.8547500814,1148243.653428186,0.5017789048554901
2021-08-24,1099814.283528299,1159181.6538778283,0.504818925035837
2021-08-25,1098788.9158553327,1161683.2631649019,0.4996607525769195
2021-08-26,1097618.1356410698,1162783.7040093443,0.5037395584200761
2021-08-27,1102754.1690050568,1169835.2671207255,0.5060508715457215
2021-08-30,1111235.2032515453,1186765.6835358804,0.5051288396782256
2021-08-31,1122568.0537479892,1199788.9755162175,0.5062859864531849
2021-09-01,1120491.7859572757,1199413.8709638729,0.5002161607857233
2021-09-02,1123940.707581357,1210376.5832370282,0.5017497962157825
2021-09-03,1127546.9840140333,1216554.4586206954,0.503343368805624
2021-09-06,1129881.5060435173,1220391.3918173919,0.5043695435331603
2021-09-07,1127143.5357577156,1218611.0136009208,0.4985166241677644
2021-09-08,1126600.7273259023,1220205.932399237,0.5073512615108344
2021-09-09,1127086.616844504,1222913.6882010219,0.5023231163939275
2021-09-13,1128529.7420892913,1224211.904128106,0.502959528574921
2021-09-14,1129929.4159661222,1228510.3930121723,0.5035752259395095
2021-09-15,1134029.8788996073,1238088.357728679,0.5053702151396828
2021-09-16,1133516.8488279013,1245041.073546009,0.500151078882071
2021-09-17,1129940.135856944,1238640.630761648,0.49910286144176996
2021-09-20,1119841.974295575,1222114.1359438463,0.49825347356782757
2021-09-21,1127766.4881292873,1231968.196929568,0.5107665033985306
2021-09-22,1129496.0408470975,1235615.565486614,0.5024481474651723
2021-09-23,1138414.4539174591,1253329.0327784226,0.5063460011243203
2021-09-24,1135875.2266674465,1252216.2762694934,0.5052424470925094
2021-09-27,1132829.742864314,1251977.2074882782,0.5012132842713268
2021-09-28,1130092.8848243086,1244274.4435553374,0.500005323004141
2021-09-29,1132088.1349741747,1243561.5034222654,0.5062770704575303
2021-09-30,1130045.0078596442,1240734.293724412,0.5053844168929398
2021-10-01,1127807.488246936,1237544.3756332404,0.5017407707696531
2021-10-04,1134128.792016385,1251326.0871612579,0.504517922682265
2021-10-05,1136681.8665475603,1259482.0353494987,0.5056308133770873
2021-10-06,1126474.423611925,1247484.9682485266,0.49621323266326206
2021-10-07,1131339.4557364504,1260310.485146222,0.5068809915078953
2021-10-08,1132907.5992389647,1266496.5709728803,0.5053456451197811
2021-10-11,1136839.2124186046,1271672.9333006954,0.5070563440117342
2021-10-12,1138868.2845415648,1276115.7488934214,0.5052435593088869
2021-10-13,1143554.1569687878,1288438.4968997124,0.507270892732055
2021-10-14,1150013.983869741,1299800.945054186,0.500941739430694
2021-10-18,1153437.9852230824,1309436.6243552486,0.5018454404715494
2021-10-19,1147703.5232659755,1298861.2518043856,0.49935642801104374
2021-10-20,1141800.922480817,1283266.239793393,0.508614757445386
2021-10-21,1138900.9801576044,1276589.7007398172,0.4971053040480889
2021-10-22,1132854.6931515294,1269340.2820512552,0.5032485052693166
2021-10-25,1128425.109154771,1263953.6679872333,0.5012985287457766
2021-10-26,1136845.541943284,1277578.8176366433,0.5049923306434826
2021-10-27,1135588.0171702155,1276317.6291975586,0.49893995449277645
2021-10-28,1121893.542595812,1252125.558923894,0.5019093771159537
2021-10-29,1118428.9608290982,1243557.39820077,0.5003664309381867
2021-11-01,1127582.598627369,1261344.9204685779,0.5046827370815611
2021-11-02,1126308.51406717,1262329.9321439085,0.49924082374460976
2021-11-03,1128400.228476956,1259700.497528697,0.5001690805442559
2021-11-04,1130995.6900861945,1267460.9760461934,0.5013161158282355
2021-11-08,1139995.3117816688,1279268.5590020544,0.5026871292922487
2021-11-09,1141076.241666219,1281065.4385990473,0.5004852058222643
2021-11-10,1139318.1112116233,1279346.7996940885,0.5083999160221
2021-11-11,1135090.4491416882,1270279.8948065164,0.4986814849247226
2021-11-12,1142756.8319574178,1284119.3209190897,0.5020446673111248
2021-11-15,1143148.8967218366,1285240.2878710104,0.4999892946247974
2021-11-16,1141150.3454403956,1279701.2976444159,0.49911360191703585
2021-11-17,1140531.5923698028,1273894.3410970583,0.504277724591617
2021-11-18,1132537.3439563687,1261332.524309552,0.49927563081700954
2021-11-22,1122564.3920347956,1234473.9919326762,0.49482715543755257
2021-11-23,1128772.7198406307,1245280.061832685,0.5074191022983673
2021-11-24,1127539.5804216447,1240227.339116973,0.5012844262389343
2021-11-25,1129671.198151907,1248807.8959991236,0.5014219005520799
2021-11-26,1109248.3257838413,1212260.0749581247,0.4936217443694676
2021-11-29,1109543.3900471763,1208076.9347486312,0.501425808333573
2021-11-30,1108603.4980266672,1207409.23254655,0.5010031090500031
2021-12-01,1113231.3617539797,1218648.1215834594,0.5030775112731228
2021-12-02,1121982.9753170235,1234247.319310487,0.5069535715055831
2021-12-03,1115317.0657905303,1224549.8202033725,0.4970569166405615
2021-12-06,1104881.5854778169,1204936.440304485,0.4993494479965819
2021-12-07,1112929.7927475914,1222752.9406063796,0.5029699274181122
2021-12-08,1122164.7282790453,1242432.2455328146,0.5026838308802914
2021-12-09,1124388.451595769,1246829.6622054714,0.5009721001095143
2021-12-10,1126022.655494743,1249170.604392442,0.501696342499948
2021-12-13,1123549.078486593,1241690.407860195,0.4980547336010629
2021-12-14,1121166.173178877,1239959.4532907496,0.5039706429175825
2021-12-15,1116867.2181907156,1232528.6804055283,0.49814112996426557
2021-12-16,1117489.6612193906,1231156.3290079054,0.4984206659330291
2021-12-17,1108823.778262319,1209453.4718622887,0.4971568211224357
2021-12-20,1096033.996894116,1178753.8205726815,0.4991506889248482
2021-12-21,1103169.2064924268,1191999.7604482514,0.5010889660117738
2021-12-22,1108771.2455352328,1206700.3976349737,0.5022717566000204
2021-12-23,1113646.6943222452,1215907.4435151706,0.5018011904094911
2021-12-24,1111647.8467405937,1208765.1630581904,0.5009053820033926
2021-12-27,1115065.9283625537,1213941.5253860054,0.5037473237767539
2021-12-28,1119744.0494958283,1225501.8291176597,0.501575398434295
2021-12-29,1119691.6255202268,1225135.0959973847,0.5002154014920552
2021-12-30,1119086.2019236127,1223375.2438883916,0.4999450189347143
2021-12-31,1125036.470831587,1236081.3068900185,0.5035283746077118
2022-01-03,1131163.5972246581,1253258.9220348406,0.506217591628853
2022-01-04,1135251.084247128,1262667.848219175,0.5010153474928435
2022-01-05,1139687.6054610026,1269068.2910035357,0.5029577710005121
2022-01-06,1135622.145065667,1260306.299430187,0.501178389094667
2022-01-07,1137542.9249167626,1265124.1390807184,0.5021801910864059
2022-01-10,1141595.4022655487,1277240.8210668375,0.5039473701547482
2022-01-11,1142581.940313466,1280125.7453492468,0.5035968105537821
2022-01-12,1147989.0685197632,1291447.060794225,0.5031990420450527
2022-01-13,1151066.051562288,1295827.9760863602,0.5045270701986609
2022-01-14,1150303.5114187938,1296598.7112985274,0.504198619493923
2022-01-17,1152983.204328469,1300790.0619510121,0.5053509306802104
2022-01-18,1142724.2645227364,1283632.972913668,0.49682126167327506
2022-01-19,1138524.0852648441,1275340.9084597586,0.5038170098276316
2022-01-20,1136723.5802332736,1266158.5744030746,0.5009875036575504
2022-01-21,1127816.6706772293,1251297.1896217102,0.506918986537133
2022-01-24,1106829.2373337718,1212659.8108394428,0.500305206822467
2022-01-25,1110980.1005827799,1222563.3759667294,0.5044777891684211
2022-01-27,1104722.3802960953,1209993.3487362317,0.5009973193168932
2022-01-28,1104891.6676501883,1213583.0027087217,0.5010327827452152
2022-01-31,1111833.9766133241,1229919.932886873,0.500682001705047
2022-02-01,1121289.6170432456,1245972.475858279,0.5048926635896323
2022-02-02,1128518.1269972392,1260574.1852564109,0.5037571406596411
2022-02-03,1122127.210631488,1247596.292196143,0.5009308598413008
2022-02-04,1120405.4352332,1243437.8638101623,0.5001639187496673
2022-02-07,1113254.228847554,1225728.501739849,0.5001169506312557
2022-02-08,1115374.4876221535,1224611.6400094242,0.5010671977755643
2022-02-09,1122571.6902120179,1237742.1507158822,0.5042660317454998
2022-02-10,1128329.9536396323,1245642.7702260036,0.5024110215371327
2022-02-11,1120806.2319114236,1227434.7444857818,0.4990708179386984
2022-02-14,1100660.6532469713,1186971.7495560525,0.49954941270991055
2022-02-15,1117411.622132529,1220366.679993879,0.5070516008475787
2022-02-16,1116627.348838623,1219076.7550043252,0.49937251251012144
2022-02-17,1116370.7553265516,1217605.3953235731,0.4992574452131311
2022-02-18,1115006.0506811538,1212548.5673863655,0.507622321041156
2022-02-21,1110375.4000632963,1203184.8791330222,0.5000134527664928
2022-02-22,1107435.6216699174,1194278.8023346313,0.5075828985005011
2022-02-23,1106723.7099637517,1195754.267236879,0.5004989365448039
2022-02-24,1077683.0874959324,1135480.0368310811,0.49982733291412645
2022-02-25,1095154.7477736026,1169414.92463739,0.5036551195807436
2022-02-28,1103429.0724077472,1179351.4120311807,0.5073770794001664
2022-03-02,1103828.759940869,1170436.9638007202,0.5036540400216835
2022-03-03,1101137.0309841912,1165174.0698433407,0.4975031121847129
2022-03-04,1091055.3579474506,1145160.9540631347,0.5021259656481872
2022-03-07,1082299.2297663935,1118050.9567460178,0.5039957077864544
2022-03-08,1085514.1423497472,1129796.7198958271,0.5041853857198999
2022-03-09,1093342.013545487,1152286.6526450545,0.5077352108336025
2022-03-10,1102859.1083717062,1169546.7746924846,0.502372726298876
2022-03-11,1106066.6349307224,1173515.6384388148,0.5038158153917744
2022-03-14,1110483.108259682,1184845.083832245,0.5081104010008454
2022-03-15,1102038.8357778562,1171759.8915513172,0.49605242301924657
2022-03-16,1112860.104458095,1193681.2108761324,0.5009527263991757
2022-03-17,1122478.9124580617,1213455.2578751228,0.5052291897290401
2022-03-21,1117185.9137176473,1203617.6177753836,0.5020880777139335
2022-03-22,1121536.2778412814,1213648.9277362688,0.5040194447202797
2022-03-23,1120631.2553037321,1211266.852839803,0.5036188904981929
2022-03-24,1121948.8274523779,1211612.9793580608,0.5042018207611341
2022-03-25,1121485.225436641,1207685.409310304,0.5043664730615526
2022-03-28,1124714.6494065523,1209675.9587684432,0.505789599178947
2022-03-29,1127515.2233081742,1216768.8155783978,0.5003465637551954
2022-03-30,1130629.2735346924,1227896.380667691,0.5017227406619318
2022-03-31,1129284.6609975283,1227698.52509051,0.5011294537139821
2022-04-01,1135254.811449945,1243590.320467274,0.5125615411067949
2022-04-04,1143311.2235395238,1268062.672726188,0.5030897082862291
2022-04-05,1146238.4166316167,1268581.942998114,0.5034667098402761
2022-04-06,1145323.9578256127,1263422.0820508203,0.5030702637198939
2022-04-07,1140747.594143985,1252982.8257656258,0.5010767191276394
2022-04-08,1149373.1095795562,1264617.2649678185,0.5030621545438834
2022-04-11,1148578.7201007202,1263224.2264736395,0.5027184582963756
2022-04-12,1141987.2089134855,1249970.1566496175,0.4998481662127511
2022-04-13,1142397.4268405354,1247814.6738808018,0.5000277632983589
2022-04-18,1140562.6108439318,1230299.062166174,0.5083985593903015
2022-04-19,1134094.0611327905,1213863.2846939713,0.49711279324159485
2022-04-20,1138081.0817674128,1224055.2617549596,0.507585707467199
2022-04-21,1146319.193736077,1240841.4319559939,0.5023839211781959
2022-04-22,1139053.557627278,1227727.3421355183,0.49970470391424243
2022-04-25,1128554.9809519947,1209441.0757032626,0.5042773078422773
2022-04-26,1137938.1665920923,1228015.8345637594,0.5040007512344571
2022-04-27,1130186.8193024457,1216282.4675729761,0.5005989575071522
2022-04-28,1136560.720454656,1229297.6296048611,0.5033996287100837
2022-04-29,1130500.3974906846,1218536.797635843,0.4969105786526459
2022-05-02,1127397.8619197619,1214658.6512351122,0.5044493398792786
2022-05-04,1113358.1682690207,1186390.5789835358,0.49362304614056807
2022-05-05,1115752.715459684,1186567.8279586995,0.1998625191807969
2022-05-06,1114837.8357823666,1165981.8325435075,0.20829024056993883
2022-05-09,1111758.0054622907,1153288.1657009064,0.17920122730928567
2022-05-10,1107455.3472583694,1142094.6755840662,0.14052574875255108
2022-05-11,1106484.9680592301,1135158.5416417972,0.11991479988054507
2022-05-12,1103787.6211871146,1109890.742347203,0.1268238327342212
2022-05-13,1105103.9586744888,1110405.9073976332,0.10953441319959598
2022-05-16,1106546.910600622,1118623.836381004,0.11835784966334285
2022-05-17,1110021.9396622214,1147872.7345918762,0.13913557600393145
2022-05-18,1109537.6866107713,1147225.7194863514,0.12980981507978612
2022-05-19,1107865.044474951,1116950.5963961144,0.13752238194263425
2022-05-20,1111992.7510443656,1145317.515941742,0.14063872989377077
2022-05-23,1110931.4822134087,1140433.7512636636,0.14873454900447647
2022-05-24,1109450.913672056,1133134.989422615,0.1746389335957635
2022-05-25,1107912.8154855748,1119987.9773356356,0.15597114068321927
2022-05-26,1107842.4254290666,1131099.0410444068,0.15591751280461663
2022-05-27,1109037.8772048622,1143512.425901758,0.15682736442373243
2022-05-30,1111293.2472373294,1166727.7754376226,0.16753710852058754
2022-05-31,1112490.9815516598,1163826.3497746917,0.17753843938551506
2022-06-01,1111881.0325393393,1160801.3649941967,0.18024441528280838
2022-06-02,1113201.1830628533,1167811.7149015435,0.17249750119180887
2022-06-03,1111510.8212777106,1160389.2329538525,0.17130099351228292
2022-06-06,1112476.1742730425,1158427.4200461828,0.1634060661737395
2022-06-07,1112853.6747620634,1148659.8906900256,0.16368985426402805
2022-06-08,1111211.281318008,1144645.7890127045,0.15350801813311923
2022-06-09,1113073.3143777854,1152080.5866248824,0.15492409381718472
2022-06-10,1112216.5729190018,1135978.6200064507,0.1632641857212366
2022-06-13,1106951.520858175,1105905.4577148904,0.16831819420421565
2022-06-14,1108814.2468656464,1103548.014147398,0.1551445543869563
2022-06-15,1107981.628287577,1102933.9213083775,0.14576559768608377
2022-06-16,1103512.5460911323,1078894.3076918246,0.14230605952995276
2022-06-17,1103239.712014628,1071109.1978453542,0.14209394956724636
2022-06-20,1101522.9571539357,1067482.4358903256,0.13171332049054524
2022-06-21,1104968.3250863943,1091480.8363028439,0.12027297934415246
2022-06-22,1102171.469348138,1075477.7169784636,0.11804059569582975
2022-06-23,1104646.8198303413,1086279.6816569767,0.11136487077410762
2022-06-24,1106724.776367827,1098124.3725953766,0.11303334808268907
2022-06-27,1108271.3935085982,1108184.4996012703,0.12329419023178263
2022-06-28,1109375.760903993,1109808.3159391342,0.12414825668886972
2022-06-29,1109724.3940048108,1105983.6984069245,0.12451979267659372
2022-06-30,1108206.4168038545,1103486.1943413466,0.11457719859315618
2022-07-01,1109428.528471237,1104054.968754837,0.12456620216730858
2022-07-04,1110565.3162313732,1110500.729964728,0.11213032930726757
2022-07-05,1109784.146479592,1109610.4603619534,0.1295268862241905
2022-07-06,1112154.6688985329,1123577.6313081256,0.12236024585893554
2022-07-07,1113280.444586382,1134647.4818128624,0.15917758662623005
2022-07-08,1114211.3304615188,1139811.4479816516,0.22335313704981916
2022-07-11,1116944.6224157123,1144641.60329667,0.26106566260963504
2022-07-12,1113888.1305038603,1135751.9473842615,0.2769931625878882
2022-07-13,1115212.5915137471,1131461.7494377254,0.2778518278982699
2022-07-14,1116652.663565041,1129458.8038205605,0.33251515105254414
2022-07-15,1121333.1759769875,1136675.1392535402,0.3353012731322398
2022-07-18,1124225.787118093,1152682.3637994162,0.3370115300618064
2022-07-19,1125024.8436596186,1158225.5397420456,0.33748242212863133
2022-07-20,1127108.2422071868,1167519.117251807,0.3387070499929192
2022-07-21,1130130.8568327427,1176371.6651816764,0.3404757245940802
2022-07-22,1131513.0029332808,1181712.8803256294,0.3766322325612051
2022-07-25,1130585.8986037509,1177006.3646227145,0.3938110007272543
2022-07-26,1126727.0650833359,1165627.4150877192,0.3917349145990422
2022-07-27,1131390.871602517,1175609.2209070397,0.4119196546777181
2022-07-28,1134701.5727264595,1192634.37939475,0.4136354875513332
2022-07-29,1138499.432908416,1208835.2738017724,0.4331584928260571
2022-08-01,1144246.5827016647,1223770.8745482143,0.4360055391707949
2022-08-02,1146444.9491432963,1226223.0601882623,0.48942272814416493
2022-08-03,1146697.9368945728,1226342.5945788699,0.5069767579790598
2022-08-04,1148717.9337576127,1227529.5670528766,0.5078437292110927
2022-08-05,1148365.6609493599,1228184.8730959317,0.4990975099147333
2022-08-08,1153187.5496324087,1235846.3433302988,0.50986357832417
2022-08-10,1153014.1662442845,1235224.040048287,0.49949072629090574
2022-08-11,1154199.8214474844,1244237.4160673379,0.49860502534213663
2022-08-12,1154617.7658956286,1247979.5266969395,0.5075812379141345
2022-08-16,1163638.3512568548,1259515.0381105419,0.5033709235053797
2022-08-17,1167862.4273649703,1267638.144526818,0.5051671958808422
2022-08-18,1170374.8642258071,1269744.1231540688,0.5062294505609635
2022-08-19,1162910.3096976532,1255900.7528090782,0.5116591236463777
2022-08-22,1153211.537610304,1236538.7573558928,0.49851931606494254
2022-08-23,1159776.1880666926,1243854.101072002,0.5105719292630397
2022-08-24,1161069.621182724,1247967.2110324528,0.5018950962010114
2022-08-25,1158549.8060944353,1244690.7613117164,0.5008117312515367
2022-08-26,1162824.2114829435,1248556.5115534214,0.502646688766824
2022-08-29,1159461.5859338248,1234148.3915218965,0.5094755753277443
2022-08-30,1172924.2209271174,1263187.1184911008,0.5067879799310528
2022-09-01,1171670.0462906957,1253802.9846248184,0.5062600377788175
2022-09-02,1173309.099193703,1253011.642810634,0.5069497672959288
2022-09-05,1175963.1983779524,1260660.7973805144,0.5080625608104018
2022-09-06,1177782.6448748955,1262198.0015942748,0.5001116182667062
2022-09-07,1179659.679470611,1262721.4575822353,0.5098549900748619
2022-09-08,1182196.9586415282,1272719.7647820774,0.5062603304542276
2022-09-09,1181929.022259965,1274920.5659764232,0.5061484025651575
2022-09-12,1185959.3496387657,1283987.4708639954,0.5073339425627873
2022-09-13,1192292.5976363793,1291607.727894328,0.509950897769875
2022-09-14,1192065.4693262272,1288380.7823151564,0.5098575270386986
2022-09-15,1194613.0692085328,1284230.564372167,0.5023463568979301
