date,symbol,side,shares,price,reason
2021-04-22,ADANIENT,BUY,17.67952659936924,1131.2520099216654,INIT
2021-04-22,ADANIPORTS,BUY,29.881536955978188,669.3096151467785,INIT
2021-04-22,APOLLOHOSP,BUY,6.198072700492825,3226.8095207095175,INIT
2021-04-22,ASIANPAINT,BUY,8.175963587639707,2446.194847324869,INIT
2021-04-22,AXISBANK,BUY,31.331525338556602,638.3347055046817,INIT
2021-04-22,BAJAJ-AUTO,BUY,6.362164393879529,3143.584283870473,INIT
2021-04-22,BAJFINANCE,BUY,44.87309889369498,445.70133316132876,INIT
2021-04-22,BAJAJFINSV,BUY,20.664943726586024,967.8226209863541,INIT
2021-04-22,BEL,BUY,520.6254264561388,38.41533467955765,INIT
2021-04-22,BHARTIARTL,BUY,39.33488894286605,508.4544672046745,INIT
2021-04-22,CIPLA,BUY,21.656373511588274,923.5156564555024,INIT
2021-04-22,COALINDIA,BUY,243.1784557707619,82.24412782213523,INIT
2021-04-22,DRREDDY,BUY,19.92163671840474,1003.9335764778233,INIT
2021-04-22,EICHERMOT,BUY,9.015612134939227,2218.3740494438225,INIT
2021-04-22,GRASIM,BUY,16.189608057974638,1235.3603576059675,INIT
2021-04-22,HCLTECH,BUY,25.32539187966878,789.72124478974,INIT
2021-04-22,HDFCBANK,BUY,30.60204154009332,653.551168270815,INIT
2021-04-22,HDFCLIFE,BUY,30.217433270209565,661.8695843937672,INIT
2021-04-22,HINDALCO,BUY,57.43877471806211,348.1968426062339,INIT
2021-04-22,HINDUNILVR,BUY,9.099772816077223,2197.8570678890533,INIT
2021-04-22,ICICIBANK,BUY,37.46107181935771,533.8875538970873,INIT
2021-04-22,ITC,BUY,125.94882741105596,158.79465026479772,INIT
2021-04-22,INFY,BUY,16.75998842306179,1193.3182467166828,INIT
2021-04-22,INDIGO,BUY,13.1801300141897,1517.4357140990296,INIT
2021-04-22,JSWSTEEL,BUY,34.31507117121325,582.8342858509909,INIT
2021-04-22,KOTAKBANK,BUY,59.42759023742768,336.5440180242062,INIT
2021-04-22,LT,BUY,16.088620222711647,1243.1146812556876,INIT
2021-04-22,M&M,BUY,26.37035959372909,758.4272762346415,INIT
